楼房名称,价格（套/万元）,单价（元/m2）,地址,房间样式,房间规模（m2）,楼层规模
西大街 华城小区 满五年 产权清晰 空置 随时看房,210,27224,华城小区 ,3室1厅 ,77.14, 高楼层
此房恒大二期的，楼栋好，交通便利，满两年,76,8051,淮安恒大名都 ,2室2厅 ,94.4, 中楼层
绿地世纪城二期毛坯三房，有钥匙随时看房。,155,14091,绿地世纪城国际花都南苑 ,3室2厅 ,110, 低楼层
长征旁 户型方正南北通风 精装修不烦神 两卧客厅朝阳,118,10975,文华名邸 ,3室2厅 ,107.52, 高楼层
帝景蓝湾(涟水县) 1室1厅 26.8万,26.8,6252,帝景蓝湾(涟水县) ,1室1厅 ,42.87, 中楼层
恒大名都1期  3室2厅2卫    精装修,97,7001,淮安恒大名都 ,3室2厅 ,138.56, 高楼层
视野宽阔充采光充足  户型好 格局无变化  拎包即住,48,8061,前进小区 ,2室1厅 ,59.55, 高楼层
桃园小区 户型方正  紧靠医院 菜场 靠公交站台,60.8,5067,桃园小区 ,4室2厅 ,120, 中楼层
毛坯小三房， 补 的平方比较多。配 合满两年过户,123,13269,绿地世纪城五期 ,3室1厅 ,92.7, 高楼层
业主诚心出售郁金蓝湾毛坯三房随时看房,98,8203,郁金蓝湾 ,3室2厅 ,119.48, 高楼层
仁和府 邸    精美装修  满五唯一 有车库,55,6044,仁和福邸 ,3室2厅 ,91, 高楼层
楼层佳阳光充足，环境优美 位置安静，自带商 业体,99,10609,亿力未来城 ,2室2厅 ,93.32, 低楼层
恒大名都二期飞机户型三开间朝阳 楼层好,85,7799,淮安恒大名都 ,3室2厅 ,109, 低楼层
国华御锦园  多层无公摊  全天采光无遮挡 带 车库,95,9048,国华御锦园 ,3室2厅 ,105, 中楼层
此房为两室两厅一卫，中楼层，两室室朝阳采光不影响,65,7777,叶语世家 ,2室2厅 ,83.59, 中楼层
阳光广场 万达商圈 低总价 多层精装两房 实用面积大,50,6514,阳光广场 ,2室1厅 ,76.76, 高楼层
水沐清华小区多层空气清爽适合家庭居住的好地方,88,8806,水沐清华 ,3室2厅 ,99.94, 高楼层
配套设施齐全 物业服务周到 小区环境优美 交通便利,92,7360,淮安恒大名都 ,3室2厅 ,125, 低楼层
城开御园采光好视野开阔交通方便,185,9114,城开御园一期 ,4室2厅 ,203, 3层  
水韵天成123平采光刺眼精装房东心态好急售,153,12440,水韵天成银杏苑 ,3室2厅 ,123, 高楼层
北京新村 4楼两房朝南 采光佳,48,8698,北京新村 ,2室1厅 ,55.19, 中楼层
报业新城难得小三室，总价不高，带车库，精装修,78,8966,报业新城 ,3室1厅 ,87, 中楼层
房东诚心出售，此房位置好，采光充足，欢迎来电咨询,51.8,7508,前进小区 ,2室1厅 ,69, 高楼层
荷花池小区，采光好，无遮挡，户型好。,220,22917,荷花池花园小区 ,3室1厅 ,96, 高楼层
中天华庭精装两房设施齐全拎包入住,85,10573,中天华庭一期 ,2室2厅 ,80.4, 低楼层
韩侯花园 3室2厅 78万,78,7359,韩侯花园 ,3室2厅 ,106, 中楼层
乐园小区 淮 中 99平米 4楼 两居室 99平米,169,17071,乐园小区 ,2室2厅 ,99, 中楼层
楚州市中 心漕运小区 中装两房 老证税少,68,7728,漕运小区 ,2室1厅 ,88, 中楼层
东方康桥 太阳从早到晚 精装两房,73,8012,丰泰东方康桥 ,2室2厅 ,91.12, 高楼层
梁红玉路翔宇小区 精装电梯三房老证税少 自带幼儿园,75,7110,翔宇花园 ,3室2厅 ,105.5, 高楼层
淮安新都中间楼层3室 2厅2卫只要86万 满两年,92,6918,淮安新都 ,3室2厅 ,133, 低楼层
此房精装修，小区环境好，配套设施好，楼下有公园超市,92,9788,万达广场二期住宅 ,3室2厅 ,94, 低楼层
急售 板闸家园小区  户型方成、好楼层、采光好、,51,6800,板闸家苑 ,2室2厅 ,75, 中楼层
华德力多层带车库，前后大阳台，地理位置好,93.8,7920,华德力运河城 ,3室2厅 ,118.44, 高楼层
翰林花园温馨三房，家电全留，拎包入住,78,8036,翰林花园 ,3室1厅 ,97.07, 高楼层
电厂小区三区 3室1厅 150万,150,22059,电厂小区三区 ,3室1厅 ,68, 中楼层
此房户型方正，视野开阔，采光充足,83,7287,书院名居 ,3室2厅 ,113.91, 高楼层
楚州大道锦绣山阳精装多层大阁楼 随时看房价格小刀,111.8,8944,锦绣山阳 ,4室2厅 ,125, 高楼层
诚心出售  大湖城邦2室一厅 一厨一卫,65,7387,大湖城邦 ,2室2厅 ,88, 中楼层
金奥国际，毛坯大四房，景观楼层，户型方正,195,12500,金奥国际中心 ,4室2厅 ,156, 中楼层
梁红玉路翔宇小区 精装好楼层老证大车库 随时看,84.8,7585,翔宇花园 ,3室2厅 ,111.8, 中楼层
体育馆一路之隔三房，楼层好，采光好,93,7882,福晟钱隆城 ,3室2厅 ,118, 高楼层
诚心出售金辉天鹅湾小三室毛坯房 价格可谈,78,8779,金辉天鹅湾 ,3室2厅 ,88.85, 中楼层
精装修拎包即住、配套设施齐全，交通便利,83,5980,弘瑞冠邸 ,3室2厅 ,138.8, 高楼层
急售！上海路富华园小区3+2 精装修 有车库,85,9573,富华园 ,3室1厅 ,88.8, 中楼层
万达广场背靠万达，高层视野好，电梯房！,87,10066,万达广场一期住宅 ,2室2厅 ,86.43, 中楼层
月季花园 ，满二 ，户型好，采光好，临菜场,81,8055,月季花园 ,3室2厅 ,100.57, 中楼层
江淮印象毛坯三房，户型方正，采光充足,72,8314,江淮印象 ,3室2厅 ,86.61, 中楼层
万达广场一期住宅因儿子出国留学要用钱 忍痛割爱,92,9685,万达广场二期住宅 ,2室2厅 ,95, 高楼层
出售金辉天鹅湾三室两厅一卫 价格美丽,77.8,8848,金辉天鹅湾 ,3室2厅 ,87.93, 中楼层
品质小区恒大名都 环境优美 精装三房 两房朝南 东边户,92,7302,淮安恒大名都 ,3室2厅 ,126, 低楼层
水韵银杏苑  好 楼层 采光充足,142,11545,水韵天成银杏苑 ,3室2厅 ,123, 中楼层
利苑二区婚装小三房出售 配套齐全 拎包入住,58,7779,利苑新村二区 ,3室1厅 ,74.56, 低楼层
农垦丽景苑精装两房朝南 有车库 设施齐全 看房随时,95.8,10192,农垦丽景苑 ,2室2厅 ,94, 低楼层
东大街，财富广场，运河明珠电梯好房出售，,136,10075,運河明珠 ,3室2厅 ,135, 高楼层
淮海南路旁 华德力运河城德馨园 毛坯3房 看房随时,84.2,8175,华德力运河城 ,3室2厅 ,103, 高楼层
京河湾三房精装修，交通便利，楼层好。,80,8989,京河湾公寓北区 ,3室2厅 ,89, 中楼层
学府名门 3室2厅 97万,97,7294,学府名门 ,3室2厅 ,133, 中楼层
学府名门 3室2厅 97万,97,7294,学府名门 ,3室2厅 ,133, 高楼层
恒大名都三期 3室2厅 92.8万,92.8,8021,恒大名都三期 ,3室2厅 ,115.71, 低楼层
富源商城精装诚意出售！欢迎随时看房,92.8,8000,富源尚城 ,3室2厅 ,116, 低楼层
阳光广场精装修两房，老证，房主诚意出售,78,8042,阳光广场 ,2室1厅 ,97, 高楼层
城置公园龙湾 毛坯三房，阳光充足,86,8060,城置公园龙湾 ,3室2厅 ,106.7, 中楼层
满二年，采光好户型方正房东诚心出售,60,7500,伊美翡翠城 ,2室2厅 ,80, 高楼层
房子真实在售，精装修户型方正拎包入住，楼层采光好,95,6885,淮安恒大名都 ,3室2厅 ,138, 高楼层
房主诚心出售盐化厂宿舍2室高楼层满2年,39.8,5453,名都花园 ,2室2厅 ,73, 高楼层
樱花小区，精装修，院内有幼儿园，周，边生活方便,91,8125,樱花小区 ,3室2厅 ,112, 高楼层
融侨观邸 3室2厅 107万,107,8917,融侨观邸 ,3室2厅 ,120, 中楼层
楚州大道锦绣山阳 精装电梯好楼层 采光雪滑随时看,84,9439,锦绣山阳 ,2室2厅 ,89, 中楼层
新城市广场 毛坯三房 楼层好 采光好 近万达小火车,98,8167,新城市广场(淮安区) ,3室2厅 ,120, 高楼层
天鹅湾 紧凑小三房 小区里面 楼层好 采光极好,79.9,8998,金辉天鹅湾 ,3室2厅 ,88.8, 高楼层
中天华庭    品质楼盘   2室1厅,86,10750,中天华庭一期 ,2室1厅 ,80, 中楼层
左岸王，府，三室两厅，精装修。户型方方正正,107,9571,左岸王府 ,3室2厅 ,111.8, 中楼层
恒大名都三期新交付精装修2房68万,66,8301,恒大名都三期 ,2室1厅 ,79.51, 高楼层
青春雅轩 3室1厅 70万,70,6543,青春雅轩 ,3室1厅 ,107, 低楼层
二院宿舍 3室2厅 139.8万,139.8,19972,二院宿舍 ,3室2厅 ,70, 低楼层
幸福城 精装3房 低总价 拎包入往 边户,98,10653,幸福城 ,3室2厅 ,92, 中楼层
天鹅湾优质三房，房龄新，楼层好，户型通透，采光充足,96.8,8800,金辉天鹅湾 ,4室2厅 ,110, 中楼层
出售幸福城三室两厅一卫 采光无遮挡,110,10892,幸福城 ,3室2厅 ,101, 中楼层
电梯房 户型方正，通透强，简单装修,82,7455,月季花园 ,3室2厅 ,110, 高楼层
御庭园小3房   精装  老证  拎包入住,70,7350,御庭园 ,3室2厅 ,95.25, 高楼层
鸿基雅园多层2楼，采光无遮挡 满2年,73,8589,鸿基雅园 ,3室2厅 ,85, 低楼层
精装2房，好楼层，采光刺眼，价格可谈，诚心出售,79.8,8581,书香门第 ,2室2厅 ,93, 中楼层
恒大名都三期新交付精装两房66万,66,8301,恒大名都三期 ,2室2厅 ,79.51, 低楼层
毛坯房随意装修  户型方正 南北通  无个税,148,14369,绿地世纪城一期 ,3室2厅 ,103, 中楼层
幸福城 3室2厅 120万,120,10472,幸福城 ,3室2厅 ,114.6, 高楼层
此房满两年税少 简单装修 楼层适中 阳光充足 看房方便,81.8,6992,金榜花园 ,3室2厅 ,117, 高楼层
中天华庭毛坯 两室满两年 房主诚心出售 看房方便,80,9877,中天华庭一期 ,2室2厅 ,81, 低楼层
城南多层四楼，毛坯房，任性装修。有车库。,77,7736,中央华府 ,3室2厅 ,99.54, 中楼层
浦东花园旁新民小区2房朝南无公摊急售急售这个总价哪,49,7778,新民小区 ,2室1厅 ,63, 高楼层
建安公司宿舍 经济实用小三房 随时看房 拎包入住,48.5,8700,建安公司宿舍 ,3室1厅 ,55.75, 高楼层
恒大名都 毛坯三房 可贫自己喜欢任意装修,88,7040,淮安恒大名都 ,3室2厅 ,125, 中楼层
富士康  红豆国际商务城 复式楼 实用面积可达200多,60,6055,红豆国际城 ,3室2厅 ,99.1, 中楼层
在卖的 全新装修 户型正气 采光充足 低于市场价急卖,45.6,6163,城东花园北区 ,2室2厅 ,74, 中楼层
户型反正、采光好、交通便捷、环境优美,54,6441,青春雅轩 ,2室2厅 ,83.85, 中楼层
品质楼盘   看房方便  业主急售,45,4972,中央城 ,3室1厅 ,90.52, 中楼层
金奥国际中心 2室2厅 140万,140,13208,金奥国际中心 ,2室2厅 ,106, 低楼层
翰林花园精装修，设置设备齐全。有钥匙看房方便！,42.5,9218,翰林花园 ,2室1厅 ,46.11, 低楼层
厨房满两年，采光充足，无遮挡，视野宽阔。,66,8200,黄河花园十七地块 ,2室2厅 ,80.49, 高楼层
御景城，老证，新装修，拎包即住，采光好，地段好！,81,9737,御景城 ,2室2厅 ,83.19, 中楼层
大河新城 毛坯房两室 采光好，楼层好  有产证,62,6740,大河新城 ,2室2厅 ,92, 高楼层
户型方正、阳光不受限、楼层好、电梯便捷,47,6185,板闸家苑 ,2室1厅 ,76, 低楼层
恒大二期精装单身公寓，70年产权，拎包即住，采光好,42,9492,淮安恒大名都 ,1室1厅 ,44.25, 中楼层
视野开阔，生活配套设施齐全，交通便利。,43,5150,南城小区 ,2室2厅 ,83.5, 高楼层
业主诚心出售江淮印象毛坯一房随时看房,46.5,8127,江淮印象 ,2室1厅 ,57.22, 中楼层
小区绿化高，环境好 ，高层楼间距大，采光好。满2年,50,5953,青春雅轩 ,2室2厅 ,84, 高楼层
依云法国小城 4室2厅 100万,100,7253,依云法国小城 ,4室2厅 ,137.88, 中楼层
富丽花园 3室1厅 77万,77,9625,富丽花园 ,3室1厅 ,80, 中楼层
淮海第一城 3室2厅 160万,160,13794,淮海第一城 ,3室2厅 ,116, 高楼层
清晏园北边老淮中边上荷花池小区,205,29286,荷花池花园小区 ,2室1厅 ,70, 中楼层
自住装修 通透通风 格局分明 诚心出售,75,8099,淮安恒大名都 ,2室2厅 ,92.61, 中楼层
翡翠城精装3房 老证税少 拎包入住,85,7523,翡翠城花园 ,3室2厅 ,113, 高楼层
健康新村复式精装修三房拎包入住,66,8074,健康新村西区 ,3室2厅 ,81.75, 高楼层
上海路市中 心地段 汇丰园多层2楼,59.5,7809,汇丰园 ,2室1厅 ,76.2, 低楼层
上海路玫瑰苑小区2室朝阳 户型方正精装修有车库,78,9641,玫瑰苑 ,2室1厅 ,80.91, 高楼层
绿地四期小户型 精装修 价格实惠 业主诚心出售,122,15522,绿地世纪城四期 ,2室1厅 ,78.6, 低楼层
永和家园 4室2厅 90万,90,7143,永和家园 ,4室2厅 ,126, 中楼层
金辉天鹅湾采光好，户型好，视野开阔，交通方便,94,8624,金辉天鹅湾 ,4室2厅 ,109, 中楼层
荷湖星城 33万 精装 直接拎包入住,33,7952,荷湖星城 ,1室1厅 ,41.5, 低楼层
万达公寓 随时看房 高层视野好 独立卫生间 阳台 厨房,35,8750,万达公寓 ,1室1厅 ,40, 高楼层
西大街华城小区，两室一厅低楼层,185,26429,华城小区 ,2室1厅 ,70, 低楼层
急售上海路玫瑰苑好房源  楼层好  采光好,85,10679,玫瑰苑 ,2室2厅 ,79.6, 中楼层
急售 如意里精装两房老证 看中可小刀 随时看房,68.8,8662,如意里 ,2室2厅 ,79.43, 低楼层
城开御园毛坯小两房，低总价，好楼层,61,6671,城开御园二期 ,3室2厅 ,91.45, 高楼层
淮海花园A区 精装自住 采光好 位置安静 诚意售房,80,9075,淮海花园A区 ,3室1厅 ,88.16, 高楼层
华能小区2室精装 中间楼层采光无遮挡,63,10303,華能小區 ,2室1厅 ,61.15, 中楼层
和达雅苑小两房楼层好小区中间置换新房诚心出售,45,8295,和达雅苑B区 ,2室1厅 ,54.25, 中楼层
房东诚意出售精装修房，使用面积比实际面积大拎包入住,99,13027,淮海第一城 ,2室2厅 ,76, 高楼层
水韵天成，刚交付的新房，视野开阔，采光优秀,160,11679,水韵天成银杏苑 ,3室2厅 ,137, 高楼层
大河新城多层3楼 户型佳有车库,58.5,7800,大河新城 ,2室1厅 ,75, 中楼层
金润城精装两室，拎包入住，家电全留,77,9415,金润城 ,2室2厅 ,81.79, 中楼层
楚州大道 中 央 府 邸 顶楼有阁楼大车库 随时看,44.6,7560,中央府邸 ,2室1厅 ,59, 高楼层
通透格局，楼层好，视野宽阔，采光充足,81,10336,汇丰中央广场 ,2室1厅 ,78.37, 高楼层
电厂小区，精装修房，高楼层，采光好。,130,23509,电厂小区五区 ,2室1厅 ,55.3, 高楼层
此房满两年，户型方正，采光好 ， 拎包入住，总价低,42.8,7839,和达雅苑B区 ,2室1厅 ,54.6, 高楼层
小区绿化高，环境好 ，高层楼间距大，采光好。满2年,45,6000,青春雅轩 ,2室2厅 ,75, 低楼层
万达公寓 单价低 高层 采光好 精装修,86,8687,万达公寓 ,3室1厅 ,99, 高楼层
梁红玉路 多层6楼顶楼大车库随时看 单价便宜,59,7339,御庭园 ,2室2厅 ,80.4, 高楼层
恒大名都 精装公寓 业主诚心出售,41,9262,淮安恒大名都 ,1室1厅 ,44.27, 中楼层
融侨华府经典小3房全屋地暖采光好户型正家具家电留,105,10825,融侨·华府 ,3室1厅 ,97, 中楼层
一居室，有独立产权证书，价格低，适合居住，楼层好,31,5637,徐杨小区 ,1室1厅 ,55, 中楼层
急售楚州大道轻轨旁新城小区精装多层好楼层 随时看,64,8534,新城小区 ,2室2厅 ,75, 中楼层
翔宇大道边  建滔裕花园 中间楼层 采光好,81,7865,建滔裕花园 ,3室2厅 ,103, 中楼层
绿地世纪城四期 2室2厅 116万,116,14872,绿地世纪城四期 ,2室2厅 ,78, 低楼层
好楼层，视野宽阔，采光刺眼，交通便利,51,7184,月湖花园 ,2室1厅 ,71, 高楼层
万达商圈新城小区 性 价比三房 看房方便 房东诚心出售,66.8,7261,新城小区 ,3室1厅 ,92, 高楼层
电厂小区三区110万，简单装修。,110,27736,电厂小区三区 ,1室1厅 ,39.66, 低楼层
距离八二医院747米，离金鹰488米，新亚326米，,96,17082,淮阴师范学院教工住宅 ,2室1厅 ,56.2, 中楼层
此房视野开阔，采光不错 面积小总价低,40,7693,华德力运河城 ,1室1厅 ,52, 低楼层
满两年且唯一，精装修，卧室朝南，采光好,42,8400,深圳小区 ,1室1厅 ,50, 中楼层
此房全明户型，视野好，全天采光,46,5750,黄元小区 ,2室2厅 ,80, 高楼层
和达雅苑  两室朝南 有车库 硬装已经装好,53,7795,和达雅苑B区 ,2室1厅 ,68, 高楼层
淮中旁   浦东花园     精装修   4楼,92,9448,浦东花园 ,3室1厅 ,97.38, 中楼层
海通花园银座 3室2厅 67.8万,67.8,7618,海通花园银座 ,3室2厅 ,89, 低楼层
翰城广场精装单身公寓 70年产权 拎包入住,39,7968,翰林花园 ,1室1厅 ,48.95, 中楼层
绿地二期，精装修两房采光不挡，随时看房,136,16000,绿地世纪城国际花都南苑 ,2室1厅 ,85, 高楼层
绿地世纪城两房，精装修，房东诚意出售，看房方便,115,14744,绿地世纪城四期 ,2室2厅 ,78, 低楼层
罗马假日 精装两房 多层二楼 楼层采光无遮挡,62.8,8052,罗马假日 ,2室2厅 ,78, 低楼层
环城路46号东边户，大院子。人民淮中旁,138.5,21985,环城西路46号 ,2室1厅 ,63, 低楼层
户型方正    交通便利   视野宽阔满两年税费低,116,14872,绿地世纪城四期 ,2室1厅 ,78, 低楼层
绿地一期经典三房环境优美交通便利,155,13479,绿地世纪城一期 ,3室2厅 ,115, 高楼层
精装修没住过满2年 有25平方车库南北朝向看房方便,85,6911,康桥公馆 ,3室2厅 ,123, 中楼层
益兴名人湾精装小三居 楼层好采光佳,106,9483,益兴名人湾 ,3室2厅 ,111.79, 中楼层
瑞元经典  毛坯三房 边户全明户型 交通便利,87,6693,瑞元经典 ,3室2厅 ,130, 低楼层
绿地二期南苑 毛坯三房 楼层好 采光无遮挡,169,14983,绿地世纪城国际花都南苑 ,3室2厅 ,112.8, 中楼层
光华苑多层4楼精装两室家电家具全带车库拎包入住,64.8,8416,光华苑 ,2室2厅 ,77, 中楼层
精装小二房，4楼，拎包入住。。,42,8400,紫金花苑 ,2室1厅 ,50, 中楼层
